Samples,hexokinase,G6P_isomerase,PFK,aldolase,GAPDH,PGK,PGM,enolase,pyr_kinase,LDH,pyr_carboxylase,pep_carboxykinase,pyr_dehydrogenase,cit_synthase,aconitase,IDH2_nadp,IDH2_nad,AKG_dehydrogenase,SuCoA_synthase,Succ_dehydrogenase,fumarase,malate_dehydrogenase,malic_enzyme_NADP,malic_enzyme_NAD,ASPTA,ALATA_L,GLUDxm,GLUDym,Cit_lyase,FFAsynthesis,glutaminase,gln_synthetase,CPS1,OTC,ASS,ASL,ARG1,ORNTArm,G5SADrm,P5CRm,P5CRxm,ORNDC,ATP_ADP,G6P_dehydrogenase,gluconolactonase,6PDG_dehydrogenase,Ru5P_isomerase,PRPPS,SHMT1,MTHFD1,ser_synthesis,RESP1,RESP2,Hcys_synthesis,CYSTS,CYSTGL,GLUCYS,GTHS,GTHP,GTHO,glutamyltrasferase,asparagine_synthetase,CYSTA,ASRGL1,CAD,SDS,GATM,EX_O2,EX_Gln,EX_Glc,EX_Arg,EX_THF,EX_Met,protein_synthesis,biomass_synthesis,DM_LACT,DM_H2O2,DM_NH3,DM_Urea,DM_PRPP,DM_biomass,DM_Putrescine,DM_forTHF,DM_GSSG,Total
11000,0.8210526315789474,0.8263157894736842,0.8263157894736842,0.8263157894736842,0.8263157894736842,0.8263157894736842,0.8947368421052632,0.8947368421052632,0.9052631578947369,0.868421052631579,0.8263157894736842,0.9105263157894737,0.8894736842105263,0.8894736842105263,0.9,0.8736842105263158,0.8894736842105263,0.9052631578947369,0.9052631578947369,0.9052631578947369,0.868421052631579,0.8842105263157894,0.8473684210526315,0.8105263157894737,0.9263157894736842,0.9263157894736842,0.9105263157894737,0.8842105263157894,0.9263157894736842,0.9263157894736842,0.8368421052631579,0.7894736842105263,0.9157894736842105,0.9263157894736842,0.9263157894736842,0.9263157894736842,0.868421052631579,0.9263157894736842,0.9263157894736842,0.8631578947368421,0.868421052631579,0.7789473684210526,0.8526315789473684,0.9105263157894737,0.9105263157894737,0.9105263157894737,0.9105263157894737,0.9105263157894737,0.9,0.9,0.8947368421052632,0.8789473684210526,0.9052631578947369,0.8578947368421053,0.8578947368421053,0.8578947368421053,0.7894736842105263,0.8526315789473684,0.7894736842105263,0.8,0.8052631578947368,0.8578947368421053,0.8,0.8578947368421053,0.8947368421052632,0.8421052631578947,0.8210526315789474,0.8,0.8052631578947368,0.8210526315789474,0.7947368421052632,0.9,0.8578947368421053,0.9263157894736842,0.9263157894736842,0.868421052631579,0.8052631578947368,0.8421052631578947,0.868421052631579,0.9105263157894737,0.9263157894736842,0.7789473684210526,0.9,0.8526315789473684,0.8693609022556392
12000,0.8421052631578947,0.8210526315789474,0.8210526315789474,0.8210526315789474,0.8210526315789474,0.8210526315789474,0.8105263157894737,0.8105263157894737,0.9,0.8789473684210526,0.9,0.868421052631579,0.9210526315789473,0.9210526315789473,0.9105263157894737,0.9315789473684211,0.8842105263157894,0.9052631578947369,0.9052631578947369,0.9052631578947369,0.9105263157894737,0.8736842105263158,0.8736842105263158,0.8631578947368421,0.7631578947368421,0.8789473684210526,0.8789473684210526,0.8578947368421053,0.8789473684210526,0.8789473684210526,0.868421052631579,0.7947368421052632,0.9052631578947369,0.7842105263157895,0.7842105263157895,0.7842105263157895,0.8526315789473684,0.8789473684210526,0.8789473684210526,0.8157894736842105,0.8473684210526315,0.8526315789473684,0.8842105263157894,0.8842105263157894,0.8842105263157894,0.8842105263157894,0.8842105263157894,0.8842105263157894,0.9105263157894737,0.9105263157894737,0.8526315789473684,0.9,0.9052631578947369,0.8736842105263158,0.8736842105263158,0.8736842105263158,0.8421052631578947,0.8,0.8526315789473684,0.8315789473684211,0.8210526315789474,0.8052631578947368,0.8526315789473684,0.8052631578947368,0.8631578947368421,0.9,0.9052631578947369,0.8842105263157894,0.8210526315789474,0.8421052631578947,0.8421052631578947,0.9105263157894737,0.8736842105263158,0.8789473684210526,0.8789473684210526,0.8789473684210526,0.7894736842105263,0.9210526315789473,0.8526315789473684,0.8842105263157894,0.8789473684210526,0.8526315789473684,0.9105263157894737,0.8,0.8629699248120298
13000,0.7789473684210526,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8157894736842105,0.8157894736842105,0.8421052631578947,0.868421052631579,0.9052631578947369,0.8473684210526315,0.8631578947368421,0.8631578947368421,0.8842105263157894,0.8894736842105263,0.8789473684210526,0.9052631578947369,0.9052631578947369,0.9052631578947369,0.9052631578947369,0.8789473684210526,0.8631578947368421,0.8526315789473684,0.8578947368421053,0.9105263157894737,0.868421052631579,0.9052631578947369,0.9105263157894737,0.9105263157894737,0.8894736842105263,0.8736842105263158,0.8368421052631579,0.8578947368421053,0.8578947368421053,0.8578947368421053,0.631578947368421,0.9105263157894737,0.9105263157894737,0.8315789473684211,0.8368421052631579,0.7842105263157895,0.8894736842105263,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.8789473684210526,0.8789473684210526,0.8526315789473684,0.8736842105263158,0.9052631578947369,0.8,0.8,0.8,0.8842105263157894,0.7947368421052632,0.8315789473684211,0.7684210526315789,0.8578947368421053,0.8421052631578947,0.8368421052631579,0.8421052631578947,0.8842105263157894,0.8631578947368421,0.8,0.9,0.8263157894736842,0.7789473684210526,0.7947368421052632,0.8789473684210526,0.8,0.9105263157894737,0.9105263157894737,0.868421052631579,0.7105263157894737,0.868421052631579,0.631578947368421,0.868421052631579,0.9105263157894737,0.7842105263157895,0.8789473684210526,0.7947368421052632,0.8507518796992483
14000,0.8263157894736842,0.8368421052631579,0.8368421052631579,0.8368421052631579,0.8368421052631579,0.8368421052631579,0.8210526315789474,0.8210526315789474,0.8315789473684211,0.8421052631578947,0.9052631578947369,0.8736842105263158,0.8894736842105263,0.8894736842105263,0.9210526315789473,0.8842105263157894,0.8842105263157894,0.8894736842105263,0.8894736842105263,0.8894736842105263,0.9,0.9105263157894737,0.8947368421052632,0.8894736842105263,0.8789473684210526,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.9,0.8789473684210526,0.8789473684210526,0.8789473684210526,0.8263157894736842,0.8631578947368421,0.8631578947368421,0.7894736842105263,0.8473684210526315,0.7789473684210526,0.8894736842105263,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.7473684210526316,0.9,0.9,0.9157894736842105,0.9105263157894737,0.8894736842105263,0.7684210526315789,0.7684210526315789,0.7684210526315789,0.7578947368421053,0.868421052631579,0.8210526315789474,0.868421052631579,0.7947368421052632,0.8894736842105263,0.868421052631579,0.8894736842105263,0.8631578947368421,0.868421052631579,0.8473684210526315,0.9210526315789473,0.8,0.8263157894736842,0.7789473684210526,0.9,0.7684210526315789,0.8631578947368421,0.8631578947368421,0.8421052631578947,0.7894736842105263,0.868421052631579,0.8263157894736842,0.7473684210526316,0.8631578947368421,0.7789473684210526,0.9,0.868421052631579,0.8482456140350882
15000,0.8315789473684211,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.9105263157894737,0.9105263157894737,0.8421052631578947,0.9421052631578948,0.8894736842105263,0.8578947368421053,0.8842105263157894,0.8842105263157894,0.8736842105263158,0.9315789473684211,0.9157894736842105,0.9,0.9,0.9,0.9052631578947369,0.8842105263157894,0.9052631578947369,0.8421052631578947,0.8842105263157894,0.9157894736842105,0.868421052631579,0.8473684210526315,0.9157894736842105,0.9157894736842105,0.8210526315789474,0.8315789473684211,0.9157894736842105,0.8789473684210526,0.8789473684210526,0.8789473684210526,0.8894736842105263,0.9157894736842105,0.9157894736842105,0.8210526315789474,0.8789473684210526,0.8210526315789474,0.8210526315789474,0.9105263157894737,0.9105263157894737,0.9105263157894737,0.9105263157894737,0.9105263157894737,0.8894736842105263,0.8894736842105263,0.9315789473684211,0.9263157894736842,0.9,0.8578947368421053,0.8578947368421053,0.8578947368421053,0.9,0.7894736842105263,0.8631578947368421,0.8631578947368421,0.8578947368421053,0.8578947368421053,0.8157894736842105,0.8578947368421053,0.8526315789473684,0.8526315789473684,0.8631578947368421,0.8631578947368421,0.8473684210526315,0.8315789473684211,0.8157894736842105,0.8894736842105263,0.8578947368421053,0.9157894736842105,0.9157894736842105,0.9421052631578948,0.8473684210526315,0.8789473684210526,0.8894736842105263,0.9105263157894737,0.9157894736842105,0.8210526315789474,0.8894736842105263,0.7894736842105263,0.877694235588973
16000,0.8368421052631579,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.8842105263157894,0.8842105263157894,0.7894736842105263,0.9157894736842105,0.7947368421052632,0.8631578947368421,0.8789473684210526,0.8789473684210526,0.8947368421052632,0.8631578947368421,0.8578947368421053,0.9421052631578948,0.9421052631578948,0.9421052631578948,0.9052631578947369,0.8631578947368421,0.8789473684210526,0.8789473684210526,0.9,0.868421052631579,0.8842105263157894,0.7947368421052632,0.868421052631579,0.868421052631579,0.8315789473684211,0.8210526315789474,0.8894736842105263,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8263157894736842,0.868421052631579,0.868421052631579,0.8157894736842105,0.7789473684210526,0.7736842105263158,0.8947368421052632,0.8842105263157894,0.8842105263157894,0.8842105263157894,0.8842105263157894,0.8842105263157894,0.8947368421052632,0.8947368421052632,0.8578947368421053,0.9263157894736842,0.9421052631578948,0.8473684210526315,0.8473684210526315,0.8473684210526315,0.7631578947368421,0.8315789473684211,0.8526315789473684,0.8052631578947368,0.7947368421052632,0.8578947368421053,0.8421052631578947,0.8578947368421053,0.8578947368421053,0.9052631578947369,0.8842105263157894,0.9,0.8105263157894737,0.8368421052631579,0.7684210526315789,0.8947368421052632,0.8473684210526315,0.868421052631579,0.868421052631579,0.9157894736842105,0.7736842105263158,0.8736842105263158,0.8263157894736842,0.8842105263157894,0.868421052631579,0.7736842105263158,0.8947368421052632,0.8315789473684211,0.8614661654135337
17000,0.8263157894736842,0.8157894736842105,0.8157894736842105,0.8157894736842105,0.8157894736842105,0.8157894736842105,0.8894736842105263,0.8894736842105263,0.8631578947368421,0.9,0.8736842105263158,0.8631578947368421,0.8947368421052632,0.8947368421052632,0.9315789473684211,0.8,0.8157894736842105,0.8789473684210526,0.8789473684210526,0.8789473684210526,0.8789473684210526,0.8789473684210526,0.8263157894736842,0.9105263157894737,0.9157894736842105,0.8578947368421053,0.9105263157894737,0.8210526315789474,0.8578947368421053,0.8578947368421053,0.8736842105263158,0.8473684210526315,0.9315789473684211,0.9052631578947369,0.9052631578947369,0.9052631578947369,0.8578947368421053,0.8578947368421053,0.8578947368421053,0.8263157894736842,0.8210526315789474,0.7842105263157895,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.8789473684210526,0.8789473684210526,0.8894736842105263,0.9368421052631579,0.8789473684210526,0.868421052631579,0.868421052631579,0.868421052631579,0.7526315789473684,0.8473684210526315,0.8578947368421053,0.8526315789473684,0.7,0.9052631578947369,0.8105263157894737,0.9,0.8473684210526315,0.9,0.8315789473684211,0.9,0.8105263157894737,0.8263157894736842,0.8052631578947368,0.8789473684210526,0.868421052631579,0.8578947368421053,0.8578947368421053,0.9,0.8473684210526315,0.868421052631579,0.8578947368421053,0.868421052631579,0.8578947368421053,0.7842105263157895,0.8789473684210526,0.8473684210526315,0.8600877192982459
18000,0.8263157894736842,0.7684210526315789,0.7684210526315789,0.7684210526315789,0.7684210526315789,0.7684210526315789,0.8578947368421053,0.8578947368421053,0.8631578947368421,0.8631578947368421,0.8578947368421053,0.8842105263157894,0.9105263157894737,0.9105263157894737,0.868421052631579,0.8368421052631579,0.8736842105263158,0.9105263157894737,0.9105263157894737,0.9105263157894737,0.9,0.7894736842105263,0.8526315789473684,0.8736842105263158,0.8736842105263158,0.8789473684210526,0.8842105263157894,0.8894736842105263,0.8789473684210526,0.8789473684210526,0.8842105263157894,0.8842105263157894,0.8263157894736842,0.8736842105263158,0.8736842105263158,0.8736842105263158,0.8315789473684211,0.8789473684210526,0.8789473684210526,0.8157894736842105,0.7947368421052632,0.8157894736842105,0.9157894736842105,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.9,0.9,0.9052631578947369,0.8894736842105263,0.9105263157894737,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.7894736842105263,0.8736842105263158,0.7789473684210526,0.8315789473684211,0.8052631578947368,0.8526315789473684,0.8315789473684211,0.8526315789473684,0.8842105263157894,0.8315789473684211,0.9,0.9210526315789473,0.8947368421052632,0.8263157894736842,0.8210526315789474,0.9,0.8631578947368421,0.8789473684210526,0.8789473684210526,0.8631578947368421,0.7,0.9,0.8315789473684211,0.8631578947368421,0.8789473684210526,0.8157894736842105,0.9,0.8736842105263158,0.858145363408522
19000,0.8526315789473684,0.8315789473684211,0.8315789473684211,0.8315789473684211,0.8315789473684211,0.8315789473684211,0.8526315789473684,0.8526315789473684,0.8263157894736842,0.8842105263157894,0.8789473684210526,0.8105263157894737,0.8473684210526315,0.8473684210526315,0.8736842105263158,0.8789473684210526,0.8842105263157894,0.8473684210526315,0.8473684210526315,0.8473684210526315,0.868421052631579,0.8842105263157894,0.8631578947368421,0.8894736842105263,0.8789473684210526,0.9052631578947369,0.8789473684210526,0.8947368421052632,0.9052631578947369,0.9052631578947369,0.868421052631579,0.8631578947368421,0.8631578947368421,0.8789473684210526,0.8789473684210526,0.8789473684210526,0.8631578947368421,0.9052631578947369,0.9052631578947369,0.8736842105263158,0.868421052631579,0.8368421052631579,0.9052631578947369,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8368421052631579,0.8368421052631579,0.8578947368421053,0.9105263157894737,0.8473684210526315,0.8473684210526315,0.8473684210526315,0.8473684210526315,0.868421052631579,0.7736842105263158,0.7473684210526316,0.8052631578947368,0.8421052631578947,0.8473684210526315,0.8052631578947368,0.8473684210526315,0.8421052631578947,0.8052631578947368,0.8526315789473684,0.868421052631579,0.7578947368421053,0.8526315789473684,0.8263157894736842,0.8368421052631579,0.8473684210526315,0.9052631578947369,0.9052631578947369,0.8842105263157894,0.7526315789473684,0.8789473684210526,0.8631578947368421,0.8631578947368421,0.9052631578947369,0.8368421052631579,0.8368421052631579,0.7736842105263158,0.8551378446115289
20000,0.8631578947368421,0.8315789473684211,0.8315789473684211,0.8315789473684211,0.8315789473684211,0.8315789473684211,0.8736842105263158,0.8736842105263158,0.868421052631579,0.9157894736842105,0.9157894736842105,0.8736842105263158,0.9052631578947369,0.9052631578947369,0.9157894736842105,0.8736842105263158,0.8842105263157894,0.868421052631579,0.868421052631579,0.868421052631579,0.9157894736842105,0.8578947368421053,0.9263157894736842,0.8947368421052632,0.8578947368421053,0.868421052631579,0.8578947368421053,0.9210526315789473,0.868421052631579,0.868421052631579,0.8842105263157894,0.868421052631579,0.8842105263157894,0.868421052631579,0.868421052631579,0.868421052631579,0.8473684210526315,0.868421052631579,0.868421052631579,0.7842105263157895,0.8052631578947368,0.8315789473684211,0.8789473684210526,0.9157894736842105,0.9157894736842105,0.9157894736842105,0.9157894736842105,0.9157894736842105,0.8842105263157894,0.8842105263157894,0.8947368421052632,0.9105263157894737,0.868421052631579,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.8157894736842105,0.8473684210526315,0.8842105263157894,0.8421052631578947,0.8368421052631579,0.8526315789473684,0.8842105263157894,0.8473684210526315,0.7315789473684211,0.8631578947368421,0.868421052631579,0.8736842105263158,0.7947368421052632,0.8631578947368421,0.8315789473684211,0.8842105263157894,0.8526315789473684,0.868421052631579,0.868421052631579,0.9157894736842105,0.8736842105263158,0.8578947368421053,0.8473684210526315,0.9157894736842105,0.868421052631579,0.8315789473684211,0.8842105263157894,0.8473684210526315,0.8681704260651634
21000,0.6526315789473685,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8421052631578947,0.8421052631578947,0.8736842105263158,0.8947368421052632,0.9,0.8947368421052632,0.8052631578947368,0.8052631578947368,0.9105263157894737,0.8947368421052632,0.9105263157894737,0.9,0.9,0.9,0.9368421052631579,0.8842105263157894,0.9,0.8421052631578947,0.8894736842105263,0.9157894736842105,0.8421052631578947,0.9210526315789473,0.9157894736842105,0.9157894736842105,0.8842105263157894,0.8473684210526315,0.9105263157894737,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8,0.9157894736842105,0.9157894736842105,0.8842105263157894,0.7842105263157895,0.8105263157894737,0.9263157894736842,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.868421052631579,0.868421052631579,0.9263157894736842,0.8894736842105263,0.9,0.8736842105263158,0.8736842105263158,0.8736842105263158,0.7578947368421053,0.8578947368421053,0.8210526315789474,0.7947368421052632,0.7789473684210526,0.9157894736842105,0.7894736842105263,0.9157894736842105,0.8578947368421053,0.868421052631579,0.8263157894736842,0.8736842105263158,0.8736842105263158,0.6526315789473685,0.8105263157894737,0.868421052631579,0.8736842105263158,0.9157894736842105,0.9157894736842105,0.8947368421052632,0.8526315789473684,0.9052631578947369,0.8,0.8526315789473684,0.9157894736842105,0.8105263157894737,0.868421052631579,0.8578947368421053,0.8646616541353384
22000,0.8473684210526315,0.8368421052631579,0.8368421052631579,0.8368421052631579,0.8368421052631579,0.8368421052631579,0.8052631578947368,0.8052631578947368,0.8052631578947368,0.8894736842105263,0.868421052631579,0.8368421052631579,0.8736842105263158,0.8736842105263158,0.9368421052631579,0.8947368421052632,0.8736842105263158,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8894736842105263,0.9052631578947369,0.8736842105263158,0.8315789473684211,0.9473684210526315,0.8894736842105263,0.8368421052631579,0.8473684210526315,0.8894736842105263,0.8894736842105263,0.8263157894736842,0.8368421052631579,0.9,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8473684210526315,0.8894736842105263,0.8894736842105263,0.7789473684210526,0.8526315789473684,0.8210526315789474,0.8789473684210526,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8473684210526315,0.8473684210526315,0.8421052631578947,0.8842105263157894,0.8421052631578947,0.8736842105263158,0.8736842105263158,0.8736842105263158,0.8421052631578947,0.8368421052631579,0.8473684210526315,0.8421052631578947,0.8526315789473684,0.8157894736842105,0.8631578947368421,0.8105263157894737,0.8105263157894737,0.8578947368421053,0.8,0.8789473684210526,0.8210526315789474,0.8473684210526315,0.8210526315789474,0.8473684210526315,0.8736842105263158,0.8894736842105263,0.8894736842105263,0.8894736842105263,0.8368421052631579,0.8,0.8473684210526315,0.8631578947368421,0.8894736842105263,0.8210526315789474,0.8473684210526315,0.8368421052631579,0.8578947368421055
23000,0.8315789473684211,0.8210526315789474,0.8210526315789474,0.8210526315789474,0.8210526315789474,0.8210526315789474,0.8421052631578947,0.8421052631578947,0.8631578947368421,0.8105263157894737,0.9315789473684211,0.8842105263157894,0.8842105263157894,0.8842105263157894,0.8526315789473684,0.9052631578947369,0.9,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8789473684210526,0.868421052631579,0.9,0.8263157894736842,0.9210526315789473,0.8631578947368421,0.8473684210526315,0.8947368421052632,0.8631578947368421,0.8631578947368421,0.868421052631579,0.8736842105263158,0.8736842105263158,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.8578947368421053,0.8631578947368421,0.8631578947368421,0.8526315789473684,0.8210526315789474,0.7789473684210526,0.9315789473684211,0.8052631578947368,0.8052631578947368,0.8052631578947368,0.8052631578947368,0.8052631578947368,0.8947368421052632,0.8947368421052632,0.8789473684210526,0.8631578947368421,0.8421052631578947,0.868421052631579,0.868421052631579,0.868421052631579,0.8368421052631579,0.8736842105263158,0.8736842105263158,0.8736842105263158,0.8157894736842105,0.8473684210526315,0.8473684210526315,0.8421052631578947,0.9,0.8526315789473684,0.8421052631578947,0.868421052631579,0.8473684210526315,0.8315789473684211,0.7842105263157895,0.8947368421052632,0.868421052631579,0.8631578947368421,0.8631578947368421,0.8105263157894737,0.8736842105263158,0.8105263157894737,0.8578947368421053,0.8052631578947368,0.8631578947368421,0.7789473684210526,0.8947368421052632,0.8736842105263158,0.8563909774436093
24000,0.8,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.8263157894736842,0.8263157894736842,0.7736842105263158,0.8736842105263158,0.8789473684210526,0.8421052631578947,0.8842105263157894,0.8842105263157894,0.8947368421052632,0.8894736842105263,0.8842105263157894,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8894736842105263,0.8947368421052632,0.8526315789473684,0.9157894736842105,0.8789473684210526,0.8263157894736842,0.8368421052631579,0.868421052631579,0.8263157894736842,0.8263157894736842,0.8263157894736842,0.868421052631579,0.8157894736842105,0.8842105263157894,0.8842105263157894,0.8842105263157894,0.8421052631578947,0.8263157894736842,0.8263157894736842,0.7631578947368421,0.7473684210526316,0.8736842105263158,0.868421052631579,0.8894736842105263,0.8894736842105263,0.8894736842105263,0.8894736842105263,0.8894736842105263,0.8789473684210526,0.8789473684210526,0.8947368421052632,0.8736842105263158,0.8631578947368421,0.8789473684210526,0.8789473684210526,0.8789473684210526,0.8315789473684211,0.8842105263157894,0.8210526315789474,0.8789473684210526,0.8263157894736842,0.8894736842105263,0.8052631578947368,0.8894736842105263,0.8578947368421053,0.9,0.8842105263157894,0.8894736842105263,0.8421052631578947,0.8,0.8736842105263158,0.8789473684210526,0.8789473684210526,0.8263157894736842,0.8263157894736842,0.8736842105263158,0.8526315789473684,0.8421052631578947,0.8421052631578947,0.8894736842105263,0.8263157894736842,0.8736842105263158,0.8789473684210526,0.8842105263157894,0.8533834586466166
25000,0.8263157894736842,0.8578947368421053,0.8578947368421053,0.8578947368421053,0.8578947368421053,0.8578947368421053,0.8526315789473684,0.8526315789473684,0.8736842105263158,0.8789473684210526,0.8894736842105263,0.8842105263157894,0.8842105263157894,0.8842105263157894,0.8789473684210526,0.8631578947368421,0.8894736842105263,0.9105263157894737,0.9105263157894737,0.9105263157894737,0.8947368421052632,0.8526315789473684,0.9052631578947369,0.9052631578947369,0.8736842105263158,0.8947368421052632,0.8315789473684211,0.8368421052631579,0.8947368421052632,0.8947368421052632,0.868421052631579,0.8157894736842105,0.8631578947368421,0.8736842105263158,0.8736842105263158,0.8736842105263158,0.8,0.8947368421052632,0.8947368421052632,0.8315789473684211,0.8157894736842105,0.8631578947368421,0.8947368421052632,0.9,0.9,0.9,0.9,0.9,0.868421052631579,0.868421052631579,0.8842105263157894,0.9263157894736842,0.9105263157894737,0.8789473684210526,0.8789473684210526,0.8789473684210526,0.8,0.868421052631579,0.8315789473684211,0.7578947368421053,0.7789473684210526,0.8947368421052632,0.8421052631578947,0.8947368421052632,0.868421052631579,0.8473684210526315,0.868421052631579,0.8736842105263158,0.8315789473684211,0.8263157894736842,0.868421052631579,0.868421052631579,0.8789473684210526,0.8947368421052632,0.8947368421052632,0.8789473684210526,0.7947368421052632,0.8736842105263158,0.8,0.9,0.8947368421052632,0.8631578947368421,0.868421052631579,0.868421052631579,0.8684837092731829
26000,0.8157894736842105,0.8736842105263158,0.8736842105263158,0.8736842105263158,0.8736842105263158,0.8736842105263158,0.8421052631578947,0.8421052631578947,0.8789473684210526,0.9,0.8368421052631579,0.8894736842105263,0.8789473684210526,0.8789473684210526,0.9052631578947369,0.8789473684210526,0.8947368421052632,0.9263157894736842,0.9263157894736842,0.9263157894736842,0.8842105263157894,0.8210526315789474,0.8842105263157894,0.8052631578947368,0.9105263157894737,0.8315789473684211,0.9,0.8526315789473684,0.8315789473684211,0.8315789473684211,0.8105263157894737,0.8473684210526315,0.9052631578947369,0.9052631578947369,0.9052631578947369,0.9052631578947369,0.8631578947368421,0.8315789473684211,0.8315789473684211,0.8368421052631579,0.8368421052631579,0.8263157894736842,0.8578947368421053,0.9052631578947369,0.9052631578947369,0.9052631578947369,0.9052631578947369,0.9052631578947369,0.9157894736842105,0.9157894736842105,0.8947368421052632,0.8473684210526315,0.9263157894736842,0.8105263157894737,0.8105263157894737,0.8105263157894737,0.8368421052631579,0.8842105263157894,0.8578947368421053,0.8736842105263158,0.8578947368421053,0.8210526315789474,0.8789473684210526,0.8210526315789474,0.8736842105263158,0.9210526315789473,0.8526315789473684,0.8421052631578947,0.8473684210526315,0.8157894736842105,0.8315789473684211,0.9157894736842105,0.8105263157894737,0.8315789473684211,0.8315789473684211,0.9,0.868421052631579,0.8947368421052632,0.8631578947368421,0.9052631578947369,0.8315789473684211,0.8263157894736842,0.9157894736842105,0.8842105263157894,0.867355889724311
27000,0.8,0.8473684210526315,0.8473684210526315,0.8473684210526315,0.8473684210526315,0.8473684210526315,0.868421052631579,0.868421052631579,0.8842105263157894,0.8210526315789474,0.9,0.8894736842105263,0.8105263157894737,0.8105263157894737,0.8894736842105263,0.8368421052631579,0.8578947368421053,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.868421052631579,0.8368421052631579,0.8789473684210526,0.8631578947368421,0.8947368421052632,0.8631578947368421,0.8578947368421053,0.868421052631579,0.8631578947368421,0.8631578947368421,0.8526315789473684,0.9210526315789473,0.8421052631578947,0.8842105263157894,0.8842105263157894,0.8842105263157894,0.7157894736842105,0.8631578947368421,0.8631578947368421,0.8578947368421053,0.8578947368421053,0.7315789473684211,0.8789473684210526,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8736842105263158,0.8736842105263158,0.8789473684210526,0.9105263157894737,0.8631578947368421,0.9052631578947369,0.9052631578947369,0.9052631578947369,0.8105263157894737,0.8578947368421053,0.8368421052631579,0.8578947368421053,0.7894736842105263,0.8263157894736842,0.8052631578947368,0.8210526315789474,0.8421052631578947,0.8631578947368421,0.8894736842105263,0.8789473684210526,0.6894736842105263,0.8,0.7315789473684211,0.8736842105263158,0.9052631578947369,0.8631578947368421,0.8631578947368421,0.8210526315789474,0.8263157894736842,0.8105263157894737,0.7157894736842105,0.8947368421052632,0.8631578947368421,0.7315789473684211,0.8736842105263158,0.8578947368421053,0.8517543859649122
28000,0.8,0.8,0.8,0.8,0.8,0.8,0.8210526315789474,0.8210526315789474,0.868421052631579,0.8526315789473684,0.868421052631579,0.8789473684210526,0.8473684210526315,0.8473684210526315,0.9315789473684211,0.8263157894736842,0.8368421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.8631578947368421,0.8631578947368421,0.8578947368421053,0.8842105263157894,0.8736842105263158,0.868421052631579,0.8526315789473684,0.9,0.868421052631579,0.868421052631579,0.7947368421052632,0.7842105263157895,0.8789473684210526,0.8842105263157894,0.8842105263157894,0.8842105263157894,0.868421052631579,0.868421052631579,0.868421052631579,0.8157894736842105,0.8473684210526315,0.8578947368421053,0.7684210526315789,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579,0.8842105263157894,0.8842105263157894,0.8315789473684211,0.8473684210526315,0.868421052631579,0.9,0.9,0.9,0.6842105263157895,0.8631578947368421,0.8368421052631579,0.8421052631578947,0.7578947368421053,0.8842105263157894,0.7736842105263158,0.8842105263157894,0.8421052631578947,0.9105263157894737,0.8157894736842105,0.8947368421052632,0.8421052631578947,0.8,0.8578947368421053,0.8842105263157894,0.9,0.868421052631579,0.868421052631579,0.8526315789473684,0.8105263157894737,0.8578947368421053,0.868421052631579,0.868421052631579,0.868421052631579,0.8578947368421053,0.8842105263157894,0.8631578947368421,0.8525062656641605
